| model                          |       size |     params | backend    | threads |            test |                  t/s |
| ------------------------------ | ---------: | ---------: | ---------- | ------: | --------------: | -------------------: |
| qwen2 1B Q4_K - Medium         | 373.71 MiB |   494.03 M | CPU        |       1 |            pp64 |         15.84 ± 0.01 |
| qwen2 1B Q4_K - Medium         | 373.71 MiB |   494.03 M | CPU        |       1 |            tg64 |         11.21 ± 0.00 |
| qwen2 1B Q4_K - Medium         | 373.71 MiB |   494.03 M | CPU        |       2 |            pp64 |         30.61 ± 0.32 |
| qwen2 1B Q4_K - Medium         | 373.71 MiB |   494.03 M | CPU        |       2 |            tg64 |         16.92 ± 0.05 |
| qwen2 1B Q4_K - Medium         | 373.71 MiB |   494.03 M | CPU        |       4 |            pp64 |         33.58 ± 0.22 |
| qwen2 1B Q4_K - Medium         | 373.71 MiB |   494.03 M | CPU        |       4 |            tg64 |         15.76 ± 0.05 |
| qwen2 1B Q4_K - Medium         | 373.71 MiB |   494.03 M | CPU        |       6 |            pp64 |         37.70 ± 0.23 |
| qwen2 1B Q4_K - Medium         | 373.71 MiB |   494.03 M | CPU        |       6 |            tg64 |         17.21 ± 0.05 |
| qwen2 1B Q4_K - Medium         | 373.71 MiB |   494.03 M | CPU        |       8 |            pp64 |         40.50 ± 0.24 |
| qwen2 1B Q4_K - Medium         | 373.71 MiB |   494.03 M | CPU        |       8 |            tg64 |         17.11 ± 0.03 |

build: unknown (0)
